Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
41,2.0,0.0,0.0,48.0,1.0,48.0,1970.0,0.1,38.00899999999998,0.0,0.0,353.58747935295105,,,,,,,,,,,,,,,,,,,,,16.033298147062826,12.55075091070487,37.313992359667964,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,353.0,2.0,305.0,2275.0,0.1,296.0079999999998,0.0,0.0,380.29294633865356,,,,,,,,,,,,,,,,,,,,,131.7762443360716,76.26285936158482,256.3286464417353,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,534.0,3.0,181.0,2456.0,0.1,152.02800000000013,0.0,0.0,396.1346871852875,,,,,,,,,,,,,,,,,,,,,68.51713802780594,41.45224884668644,139.90607025139974,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,640.0,4.0,106.0,2562.0,0.1,99.00600000000003,0.0,0.0,405.68890023231506,,,,,,,,,,,,,,,,,,,,,46.10325644067608,28.95437622000662,94.30757566103478,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,686.0,5.0,46.0,2608.0,0.1,37.00799999999998,0.0,0.0,410.0333561897278,,,,,,,,,,,,,,,,,,,,,15.897297775077153,12.167600728131875,36.349386726412554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,718.0,6.0,32.0,2640.0,0.1,22.00900000000001,0.0,0.0,413.2599081993103,,,,,,,,,,,,,,,,,,,,,8.538599429074615,7.665148952744145,21.779301642252477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,765.0,7.0,47.0,2687.0,0.1,38.00799999999998,0.0,0.0,418.07701349258423,,,,,,,,,,,,,,,,,,,,,16.373434509699905,12.461461231403414,37.31303733968614,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,935.0,8.0,170.0,2857.0,0.1,161.00800000000004,0.0,0.0,432.94359397888184,,,,,,,,,,,,,,,,,,,,,73.65959368308947,45.19198193419545,148.78328686431666,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,998.0,9.0,63.0,2920.0,0.1,54.00799999999998,0.0,0.0,438.73112058639526,,,,,,,,,,,,,,,,,,,,,24.001679726116752,17.06490094701221,52.60104366353806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1081.0,10.0,83.0,3003.0,0.1,75.00700000000003,0.0,0.0,446.1969430446625,,,,,,,,,,,,,,,,,,,,,34.38219497799926,22.727901649154006,72.29780112126748,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
